target_rabi_mhz,experimental_rabi_mhz,detuning_mhz,experimental_excited_probability,simulated_total_excited_probability,experiment_minus_simulation
5.0,5.040504356924368,-0.485,0.638,0.6211310515382379,0.016868948461762123
5.0,5.040504356924368,-0.48,0.647,0.6212308313006828,0.025769168699317224
5.0,5.040504356924368,-0.475,0.631,0.6210973304749042,0.009902669525095775
5.0,5.040504356924368,-0.47,0.658,0.6209430935968392,0.03705690640316084
5.0,5.040504356924368,-0.465,0.658,0.6207888567187742,0.03721114328122588
5.0,5.040504356924368,-0.46,0.685,0.620634619840709,0.06436538015929105
5.0,5.040504356924368,-0.455,0.68,0.6195415458661124,0.06045845413388762
5.0,5.040504356924368,-0.45,0.67,0.6182652841653633,0.051734715834636735
5.0,5.040504356924368,-0.445,0.651,0.6169890224646142,0.034010977535385845
5.0,5.040504356924368,-0.44,0.673,0.615712760763865,0.05728723923613499
5.0,5.040504356924368,-0.435,0.648,0.6140734136147585,0.033926586385241486
5.0,5.040504356924368,-0.43,0.651,0.6123163090229415,0.03868369097705848
5.0,5.040504356924368,-0.425,0.673,0.6105592044311244,0.06244079556887561
5.0,5.040504356924368,-0.42,0.675,0.6088020998393074,0.0661979001606926
5.0,5.040504356924368,-0.415,0.666,0.6076623540508928,0.058337645949107286
5.0,5.040504356924368,-0.41,0.659,0.6068219337429156,0.05217806625708443
5.0,5.040504356924368,-0.405,0.671,0.6059815134349384,0.0650184865650616
5.0,5.040504356924368,-0.4,0.643,0.6051410931269612,0.03785890687303883
5.0,5.040504356924368,-0.395,0.672,0.6049485586954072,0.06705144130459284
5.0,5.040504356924368,-0.39,0.669,0.6052028421096624,0.06379715789033769
5.0,5.040504356924368,-0.385,0.662,0.6054571255239175,0.05654287447608253
5.0,5.040504356924368,-0.38,0.643,0.6057114089381727,0.03728859106182736
5.0,5.040504356924368,-0.375,0.626,0.6057639185814785,0.020236081418521512
5.0,5.040504356924368,-0.37,0.623,0.605622725404673,0.017377274595327008
5.0,5.040504356924368,-0.365,0.658,0.6054815322278675,0.05251846777213254
5.0,5.040504356924368,-0.36,0.664,0.605340339051062,0.05865966094893804
5.0,5.040504356924368,-0.355,0.683,0.6045177842043391,0.07848221579566095
5.0,5.040504356924368,-0.35,0.655,0.6027867471310597,0.052213252868940296
5.0,5.040504356924368,-0.345,0.667,0.6010557100577802,0.06594428994221979
5.0,5.040504356924368,-0.34,0.655,0.5993246729845009,0.055675327015499154
