series,target_rabi_mhz,actual_rabi_mhz,detuning_mhz,excited_probability
current_echo_experiment,10.0,,0.155,0.635
current_echo_experiment,10.0,,0.16,0.651
current_echo_experiment,10.0,,0.165,0.623
current_echo_experiment,10.0,,0.17,0.638
current_echo_experiment,10.0,,0.175,0.619
current_echo_experiment,10.0,,0.18,0.657
current_echo_experiment,10.0,,0.185,0.644
current_echo_experiment,10.0,,0.19,0.634
current_echo_experiment,10.0,,0.195,0.627
current_echo_experiment,10.0,,0.2,0.638
current_echo_experiment,10.0,,0.205,0.642
current_echo_experiment,10.0,,0.21,0.652
current_echo_experiment,10.0,,0.215,0.641
current_echo_experiment,10.0,,0.22,0.63
current_echo_experiment,10.0,,0.225,0.625
current_echo_experiment,10.0,,0.23,0.652
current_echo_experiment,10.0,,0.235,0.678
current_echo_experiment,10.0,,0.24,0.671
current_echo_experiment,10.0,,0.245,0.667
current_echo_experiment,10.0,,0.25,0.689
current_echo_experiment,10.0,,0.255,0.67
current_echo_experiment,10.0,,0.26,0.663
current_echo_experiment,10.0,,0.265,0.677
current_echo_experiment,10.0,,0.27,0.672
current_echo_experiment,10.0,,0.275,0.662
current_echo_experiment,10.0,,0.28,0.666
current_echo_experiment,10.0,,0.285,0.64
current_echo_experiment,10.0,,0.29,0.682
current_echo_experiment,10.0,,0.295,0.675
current_echo_experiment,10.0,,0.3,0.635
current_echo_experiment,10.0,,0.305,0.676
current_echo_experiment,10.0,,0.31,0.664
current_echo_experiment,10.0,,0.315,0.676
current_echo_experiment,10.0,,0.32,0.661
current_echo_experiment,10.0,,0.325,0.641
current_echo_experiment,10.0,,0.33,0.659
current_echo_experiment,10.0,,0.335,0.66
current_echo_experiment,10.0,,0.34,0.67
current_echo_experiment,10.0,,0.345,0.674
current_echo_experiment,10.0,,0.35,0.677
current_echo_experiment,10.0,,0.355,0.692
current_echo_experiment,10.0,,0.36,0.656
current_echo_experiment,10.0,,0.365,0.673
current_echo_experiment,10.0,,0.37,0.672
current_echo_experiment,10.0,,0.375,0.668
current_echo_experiment,10.0,,0.38,0.688
current_echo_experiment,10.0,,0.385,0.645
current_echo_experiment,10.0,,0.39,0.679
current_echo_experiment,10.0,,0.395,0.659
current_echo_experiment,10.0,,0.4,0.685
current_echo_experiment,10.0,,0.405,0.679
current_echo_experiment,10.0,,0.41,0.653
current_echo_experiment,10.0,,0.415,0.659
current_echo_experiment,10.0,,0.42,0.662
current_echo_experiment,10.0,,0.425,0.661
current_echo_experiment,10.0,,0.43,0.644
current_echo_experiment,10.0,,0.435,0.648
current_echo_experiment,10.0,,0.44,0.684
current_echo_experiment,10.0,,0.445,0.673
current_echo_experiment,10.0,,0.45,0.674
current_echo_experiment,10.0,,0.455,0.677
current_echo_experiment,10.0,,0.46,0.69
current_echo_experiment,10.0,,0.465,0.671
current_echo_experiment,10.0,,0.47,0.71
current_echo_experiment,10.0,,0.475,0.663
current_echo_experiment,10.0,,0.48,0.654
current_echo_experiment,10.0,,0.485,0.676
current_echo_experiment,10.0,,0.49,0.701
current_echo_experiment,10.0,,0.495,0.675
current_echo_experiment,10.0,,0.5,0.681
current_echo_experiment,25.0,,-0.5,0.609
current_echo_experiment,25.0,,-0.495,0.599
current_echo_experiment,25.0,,-0.49,0.629
current_echo_experiment,25.0,,-0.485,0.609
current_echo_experiment,25.0,,-0.48,0.654
current_echo_experiment,25.0,,-0.475,0.629
current_echo_experiment,25.0,,-0.47,0.61
